#          x            y
  -15.199070   -44.023628
  -15.196278   -44.294502
  -15.191631   -44.562630
  -15.185120   -44.828003
  -15.176750   -45.090626
  -15.166523   -45.350502
  -15.154430   -45.607624
  -15.140484   -45.862000
  -15.124668   -46.113628
  -15.107002   -46.362499
  -15.087471   -46.608624
  -15.066078   -46.852001
  -15.042831   -47.092628
  -15.017719   -47.330502
  -14.990749   -47.565628
  -14.961922   -47.798004
  -14.931229   -48.027626
  -14.898682   -48.254501
  -14.864273   -48.478622
  -14.828003   -48.700001
  -14.789871   -48.918625
  -14.749882   -49.134499
  -14.708031   -49.347626
  -14.664322   -49.557999
  -14.618752   -49.765625
  -14.571320   -49.970497
  -14.522034   -50.172623
  -14.470879   -50.372002
  -14.417870   -50.568626
  -14.362999   -50.762501
  -14.306271   -50.953621
  -14.247681   -51.142002
  -14.187229   -51.327629
  -14.124920   -51.510498
  -14.060753   -51.690628
  -13.994720   -51.868004
  -13.926830   -52.042625
  -13.857079   -52.214500
  -13.785469   -52.383625
  -13.711998   -52.550003
  -13.636673   -52.713627
  -13.559483   -52.874500
  -13.480431   -53.032627
  -13.399521   -53.188004
  -13.316753   -53.340622
  -13.232117   -53.490501
  -13.145630   -53.637627
  -13.057281   -53.782005
  -12.967072   -53.923622
  -12.875004   -54.062500
  -12.781075   -54.198624
  -12.685280   -54.331993
  -12.587631   -54.462624
  -12.488121   -54.590500
  -12.386749   -54.715626
  -12.283524   -54.838001
  -12.178429   -54.957630
  -12.071480   -55.074505
  -11.962669   -55.188625
  -11.852001   -55.299999
  -11.739468   -55.408623
  -11.625080   -55.514500
  -11.508835   -55.617626
  -11.390724   -55.717995
  -11.270756   -55.815620
  -11.148926   -55.910496
  -11.025234   -56.002625
  -10.899681   -56.091999
  -10.772270   -56.178627
  -10.642998   -56.262505
  -10.511871   -56.343628
  -10.378880   -56.422005
  -10.244030   -56.497623
  -10.107319   -56.570499
   -9.968750   -56.640625
   -9.828323   -56.708000
   -9.686035   -56.772617
   -9.541882   -56.834496
   -9.395870   -56.893623
   -9.247997   -56.950005
   -9.098270   -57.003624
   -8.946686   -57.054497
   -8.793228   -57.102623
   -8.637917   -57.148006
   -8.480751   -57.190624
   -8.321720   -57.230499
   -8.160831   -57.267628
   -7.998081   -57.302002
   -7.833473   -57.333618
   -7.667004   -57.362495
   -7.498669   -57.388626
   -7.328484   -57.412003
   -7.156433   -57.432625
   -6.982525   -57.450500
   -6.806751   -57.465622
   -6.629124   -57.478001
   -6.449631   -57.487629
   -6.268280   -57.494507
   -6.085068   -57.498627
   -5.900002   -57.500000
   10.099998   -57.500000
   10.099998   -75.000000
  -15.200001   -75.000000
  -43.700001   -75.000000
  -69.000000   -75.000000
  -69.000000   -57.500000
  -53.000000   -57.500000
  -52.814934   -57.498627
  -52.631721   -57.494507
  -52.450371   -57.487629
  -52.270878   -57.478001
  -52.093250   -57.465622
  -51.917477   -57.450500
  -51.743568   -57.432625
  -51.571518   -57.412003
  -51.401333   -57.388626
  -51.232998   -57.362495
  -51.066528   -57.333618
  -50.901920   -57.302002
  -50.739170   -57.267628
  -50.578281   -57.230499
  -50.419250   -57.190624
  -50.262085   -57.148006
  -50.106773   -57.102623
  -49.953316   -57.054497
  -49.801731   -57.003624
  -49.652004   -56.950005
  -49.504131   -56.893623
  -49.358120   -56.834496
  -49.213966   -56.772617
  -49.071678   -56.708000
  -48.931252   -56.640625
  -48.792683   -56.570499
  -48.655972   -56.497623
  -48.521122   -56.422005
  -48.388130   -56.343628
  -48.257004   -56.262505
  -48.127731   -56.178627
  -48.000320   -56.091999
  -47.874767   -56.002625
  -47.751076   -55.910496
  -47.629246   -55.815620
  -47.509277   -55.717995
  -47.391167   -55.617626
  -47.274921   -55.514500
  -47.160534   -55.408623
  -47.048000   -55.299999
  -46.937332   -55.188625
  -46.828522   -55.074505
  -46.721573   -54.957630
  -46.616478   -54.838001
  -46.513252   -54.715626
  -46.411880   -54.590500
  -46.312370   -54.462624
  -46.214722   -54.331993
  -46.118927   -54.198624
  -46.024998   -54.062500
  -45.932930   -53.923622
  -45.842720   -53.782005
  -45.754372   -53.637627
  -45.667885   -53.490501
  -45.583248   -53.340622
  -45.500481   -53.188004
  -45.419571   -53.032627
  -45.340519   -52.874500
  -45.263329   -52.713627
  -45.188004   -52.550003
  -45.114532   -52.383625
  -45.042923   -52.214500
  -44.973171   -52.042625
  -44.905281   -51.868004
  -44.839249   -51.690628
  -44.775082   -51.510498
  -44.712772   -51.327629
  -44.652321   -51.142002
  -44.593731   -50.953621
  -44.537003   -50.762501
  -44.482132   -50.568626
  -44.429123   -50.372002
  -44.377968   -50.172623
  -44.328682   -49.970497
  -44.281250   -49.765625
  -44.235680   -49.557999
  -44.191971   -49.347626
  -44.150120   -49.134499
  -44.110130   -48.918625
  -44.071999   -48.700001
  -44.035728   -48.478622
  -44.001320   -48.254501
  -43.968773   -48.027626
  -43.938080   -47.798004
  -43.909252   -47.565628
  -43.882282   -47.330502
  -43.857170   -47.092628
  -43.833923   -46.852001
  -43.812531   -46.608624
  -43.792999   -46.362499
  -43.775333   -46.113628
  -43.759518   -45.862000
  -43.745571   -45.607624
  -43.733479   -45.350502
  -43.723251   -45.090626
  -43.714882   -44.828003
  -43.708370   -44.562630
  -43.703724   -44.294502
  -43.700932   -44.023628
  -43.700001   -43.750000
  -43.700001    43.750000
  -43.700932    44.023628
  -43.703724    44.294502
  -43.708370    44.562630
  -43.714882    44.828003
  -43.723251    45.090626
  -43.733479    45.350502
  -43.745571    45.607624
